Dates,stoxx600_monthly_return,stoxx600_cumulative_return
2004-04-01,,
2004-05-01,-0.008868480857193495,-0.008868480857193495
2004-06-01,0.016587211649258027,0.007571627423078819
2004-07-01,-0.018517008646372624,-0.011085585113754015
2004-08-01,-0.011717381917043523,-0.02267307299624577
2004-09-01,0.0175919210908424,-0.005480014816440226
2004-10-01,0.010768055436371826,0.005229031516595928
2004-11-01,0.025842660741625334,0.03120682434571198
2004-12-01,0.01829544386079629,0.05007321090939887
2005-01-01,0.02322524791580638,0.07446142156251656
2005-02-01,0.02896633157332995,0.10558462736224783
2005-03-01,-0.00794583993196507,0.09679982888198624
2005-04-01,-0.02338001001461687,0.07115663789869542
2005-05-01,0.04385695186050431,0.11813430300207806
2005-06-01,0.032287046305219835,0.15423555701856095
2005-07-01,0.03301676177233337,0.19234467743379935
2005-08-01,-0.0007367345752288257,0.19146623588434375
2005-09-01,0.04416819833146568,0.24409115289612826
2005-10-01,-0.02390714693167495,0.21434848290744357
2005-11-01,0.0316235227033681,0.2527504597264678
2005-12-01,0.03526228842805268,0.2969253077657181
2006-01-01,0.0355127239588926,0.34298265821570384
2006-02-01,0.02130574431795007,0.37159590335508863
2006-03-01,0.02000731200714223,0.399037850541232
2006-04-01,0.006099774339283215,0.40757166572164927
2006-05-01,-0.05236574256852833,0.33386313022771485
2006-06-01,0.005645168391268163,0.3413930122087543
2006-07-01,0.016777910626114778,0.36389878428208755
2006-08-01,0.02665317817953916,0.40025102159841497
2006-09-01,0.02001607704582775,0.42827855393022785
2006-10-01,0.03488271070965632,0.4781007815397822
2006-11-01,-0.004415004173775938,0.47157496042002256
2006-12-01,0.03831943553671269,0.5279648822532781
2007-01-01,0.020423783758492853,0.5591717065989901
2007-02-01,-0.020632116377496623,0.5270026944959396
2007-03-01,0.02517601970287009,0.5654465444189052
2007-04-01,0.033963955463679696,0.6186153011343201
2007-05-01,0.025353417270017164,0.659652730263613
2007-06-01,-0.007637240645962828,0.6469775629738606
2007-07-01,-0.03464474975717169,0.5899184374489548
2007-08-01,-0.010866431981541247,0.5726416968922174
2007-09-01,0.005107152464988163,0.5806734178110438
2007-10-01,0.027973343920987936,0.6248901389542356
2007-11-01,-0.04652062833701309,0.549299228711468
2007-12-01,-0.015444353951184375,0.5253713030469511
2008-01-01,-0.1164984896879313,0.3476678500286696
2008-02-01,-0.009963966409824332,0.3342397328393838
2008-03-01,-0.040727450242332264,0.2798995505088251
2008-04-01,0.05598772833449894,0.3515582188381605
2008-05-01,-0.0030022632445997344,0.34750048527480604
2008-06-01,-0.10160803726835654,0.21058360574787494
2008-07-01,-0.019454730978372026,0.1870320273712225
2008-08-01,0.015576482795468527,0.20552181132324043
2008-09-01,-0.11149283676664035,0.07111476479475387
2008-10-01,-0.1327083854275548,-0.07103114624877305
2008-11-01,-0.07123882920903313,-0.13720979976166803
2008-12-01,-0.04533336292613632,-0.1763229810381861
2009-01-01,-0.028796334914698796,-0.20004186033775118
2009-02-01,-0.09574856438673718,-0.27663670377989646
2009-03-01,0.020471944149937027,-0.26182805077956417
2009-04-01,0.13470468156682847,-0.16239283341826027
2009-05-01,0.039854223426078805,-0.12901065025802683
2009-06-01,-0.01143079009686232,-0.13896674669152997
2009-07-01,0.09269786552650161,-0.059150801962495225
2009-08-01,0.04761900885106085,-0.014348495673633832
2009-09-01,0.02907226146112385,0.014306622569692395
2009-10-01,-0.02284822253075014,-0.008868480857193495
2009-11-01,0.009454292670448616,0.000501966599689041
2009-12-01,0.058493981687794294,0.05902531031257352
2010-01-01,-0.02449042841900595,0.03308932675644782
2010-02-01,-0.004697131643073615,0.028236770189618454
2010-03-01,0.07229456489762187,0.10257270010221298
2010-04-01,-0.013886267634417138,0.08726208050219175
2010-05-01,-0.05748144446501835,0.024764685602884695
2010-06-01,-0.006735493686011895,0.017862389533358503
2010-07-01,0.04944105875875282,0.06818658374260189
2010-08-01,-0.01582145466362006,0.051286318135631115
2010-09-01,0.03346466015602334,0.08646725749871709
2010-10-01,0.02402583630466104,0.11257054197775518
2010-11-01,-0.01552866978306422,0.09529380142101784
2010-12-01,0.053393467911551085,0.15377533586091174
2011-01-01,0.015372866364186999,0.17151216991339657
2011-02-01,0.022924526718710148,0.1983685319538704
2011-03-01,-0.03689743177009086,0.15415181081067852
2011-04-01,0.028561091182078835,0.18711564591720364
2011-05-01,-0.01666788007144504,0.1673289447001196
2011-06-01,-0.022182414306352483,0.14143477041698427
2011-07-01,-0.027889708129088753,0.10960048782166121
2011-08-01,-0.10488221422891142,-0.006776868250554902
2011-09-01,-0.04738238784921445,-0.053838151899918474
2011-10-01,0.07648776908643984,0.018531657055959716
2011-11-01,-0.013964161147304588,0.0043087168631992245
2011-12-01,0.01857710521935374,0.02296586556908098
2012-01-01,0.04036153859065417,0.06425434182916945
2012-02-01,0.03895288518320683,0.10571011901217053
2012-03-01,-0.003783292873374422,0.10152689379889379
2012-04-01,-0.02293790208461055,0.07626017776536953
2012-05-01,-0.06821363158825566,0.0028445625061721547
2012-06-01,0.04772036309719119,0.050700669159010614
2012-07-01,0.04064978615399606,0.09341142667218505
2012-08-01,0.018555383016731097,0.1137000944889579
2012-09-01,0.008451338718967971,0.1231123512188308
2012-10-01,0.006778816791441988,0.130725724083949
2012-11-01,0.020273811445842282,0.15364984421099037
2012-12-01,0.014141685088647327,0.16996439701038923
2013-01-01,0.026959413409534116,0.2015059508638286
2013-02-01,0.009470096821749596,0.2128843285504174
2013-03-01,0.013244106730897265,0.22894789804997173
2013-04-01,0.010007496948813532,0.24124659038995766
2013-05-01,0.014019963753690856,0.25864882259661726
2013-06-01,-0.05271209655596032,0.1923028043298587
2013-07-01,0.05108412785004823,0.2532105532222162
2013-08-01,-0.007543825854006814,0.24375655105030436
2013-09-01,0.044194752479373545,0.298724063968572
2013-10-01,0.038362442794284135,0.34854629157812655
2013-11-01,0.00865467812507692,0.3602175256685014
2013-12-01,0.009533786654575716,0.37318554936203974
2014-01-01,-0.017486201733959206,0.3491737498277374
2014-02-01,0.04805903673568257,0.41401374063352714
2014-03-01,-0.010975656989705596,0.39849401083760294
2014-04-01,0.010708674930417716,0.41347002859179893
2014-05-01,0.018793025276418573,0.44003340656658474
2014-06-01,-0.006913795463426742,0.4300773101330817
2014-07-01,-0.017170758113591145,0.4055217985570514
2014-08-01,0.017887466711233424,0.4306630229406536
2014-09-01,0.003157855474460902,0.4351808499997556
2014-10-01,-0.01830476572545292,0.4089102007668537
2014-11-01,0.03102735328320394,0.45262495531035674
2014-12-01,-0.013563690295401387,0.4329220003011558
2015-01-01,0.07155362479309502,0.5354527634684758
2015-02-01,0.06854653180454706,0.6407027251539474
2015-03-01,0.01297773246165157,0.6619953261700979
2015-04-01,-0.0038006023016384782,0.6556787429081434
2015-05-01,0.010308462781223993,0.6727462456070759
2015-06-01,-0.046415079363867906,0.5951055958616114
2015-07-01,0.03949541752122454,0.6581049573606075
2015-08-01,-0.08471879048851227,0.5176323108700105
2015-09-01,-0.04140141453038437,0.45480018646297604
2015-10-01,0.07965038123500157,0.5706755759355036
2015-11-01,0.026526730291892564,0.6123404633144076
2015-12-01,-0.05090417323514207,0.5302656050558219
2016-01-01,-0.06435036959631302,0.4317924477899542
2016-02-01,-0.024395874175237586,0.3968626193886151
2016-03-01,0.01084090492219314,0.41200587423477275
2016-04-01,0.011672697581513125,0.4284877917880352
2016-05-01,0.017482725280052014,0.4534616514177736
2016-06-01,-0.05056844641510472,0.37996235378164434
2016-07-01,0.036407207432567645,0.430202929444907
2016-08-01,0.0047968178671311534,0.43706335241049166
2016-09-01,-0.0017756392563387235,0.4345116463081058
2016-10-01,-0.011518756713987055,0.4179878556509016
2016-11-01,0.008909310566705742,0.4306211498367125
2016-12-01,0.056814596181728794,0.5119013127537257
2017-01-01,-0.0035969737763479337,0.5064630433793247
2017-02-01,0.028101730685335502,0.5487972621117814
2017-03-01,0.029440429725493544,0.59439451906602
2017-04-01,0.015611012910679012,0.6192846324878756
2017-05-01,0.00749178207631318,0.6314159600739977
2017-06-01,-0.027231455635066792,0.5869901287349026
2017-07-01,-0.00400661368383215,0.5806316723690068
2017-08-01,-0.010506817934562873,0.5640242631658221
2017-09-01,0.03819406920081958,0.6237607141049384
2017-10-01,0.018188369466163312,0.6532942738977201
2017-11-01,-0.021582912689010025,0.6176113679349453
2017-12-01,0.00643924130092377,0.6280275578641958
2018-01-01,0.01613648927869904,0.654298207097098
2018-02-01,-0.04002929983895431,0.5880778081421636
2018-03-01,-0.023075124866194674,0.5514327144220503
2018-04-01,0.03896247309644263,0.6118803698186603
2018-05-01,-0.005865280085815439,0.6024262399848461
2018-06-01,-0.008171056499664209,0.5893327246413855
2018-07-01,0.030742486513162914,0.6381927644936018
2018-08-01,-0.023875733346134353,0.599079710878986
2018-09-01,0.002406694099966966,0.6029282065845354
2018-10-01,-0.056292102240499076,0.5126960080952989
2018-11-01,-0.011393477182832679,0.49546114064250313
